car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Vitara,Maruti,Vitara,5,100000,Individual,Diesel,Manual,24.3,1248,88.5,5,800000
Mahindra Scorpio,Mahindra,Scorpio,7,60000,Individual,Diesel,Manual,15.4,2179,120,7,851000
Honda Civic,Honda,Civic,2,12000,Dealer,Petrol,Automatic,16.5,1799,139.46,5,2050000
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Petrol,Manual,18.9,1197,81.86,5,415000
Hyundai Verna,Hyundai,Verna,4,49000,Dealer,Diesel,Automatic,22,1582,126.2,5,1120000
Maruti Wagon R,Maruti,Wagon R,10,120000,Individual,CNG,Manual,26.2,998,58.2,5,200000
Hyundai i10,Hyundai,i10,7,73000,Dealer,Petrol,Manual,20.36,1197,78.9,5,345000
Honda Jazz,Honda,Jazz,3,15000,Dealer,Petrol,Automatic,19,1199,88.7,5,725000
Honda Amaze,Honda,Amaze,8,29500,Dealer,Diesel,Manual,25.8,1498,98.6,5,450000
Hyundai Creta,Hyundai,Creta,5,25451,Trustmark Dealer,Petrol,Automatic,13,1591,121.3,5,1039000
Honda Amaze,Honda,Amaze,8,45000,Dealer,Petrol,Manual,18,1198,86.7,5,350000
Skoda Superb,Skoda,Superb,10,61000,Dealer,Petrol,Manual,13.14,1798,160,5,375000
Maruti Alto,Maruti,Alto,5,28000,Dealer,Petrol,Automatic,23.95,998,67.1,5,350000
Honda Jazz,Honda,Jazz,6,15000,Dealer,Petrol,Manual,18.7,1199,88.7,5,561000
Maruti Alto,Maruti,Alto,5,26000,Dealer,CNG,Manual,30.46,796,47.3,5,280000
Toyota Innova,Toyota,Innova,3,52000,Dealer,Diesel,Manual,13.68,2393,147.8,7,1650000
Maruti Celerio,Maruti,Celerio,5,43782,Dealer,Petrol,Manual,23.1,998,67.04,5,425000
Toyota Innova,Toyota,Innova,4,80000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1825000
Maruti Ertiga,Maruti,Ertiga,5,56000,Dealer,Diesel,Manual,20.77,1248,88.8,7,825000
Maruti Wagon R,Maruti,Wagon R,4,15000,Individual,Petrol,Automatic,20.51,998,67,5,505000
Honda City,Honda,City,14,85000,Dealer,Petrol,Manual,17.7,1497,78,5,175000
Maruti Ertiga,Maruti,Ertiga,4,60000,Dealer,Diesel,Manual,25.47,1248,88.5,7,855000
Hyundai Verna,Hyundai,Verna,5,63000,Dealer,Diesel,Automatic,21.3,1493,113.42,5,751000
Toyota Camry,Toyota,Camry,5,119851,Dealer,Petrol,Automatic,12.98,2494,178.4,5,1250000
Maruti Baleno,Maruti,Baleno,3,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,490000
Honda Jazz,Honda,Jazz,6,82503,Dealer,Diesel,Manual,27.3,1498,98.6,5,611000
Ford Figo,Ford,Figo,8,34000,Dealer,Petrol,Manual,15.6,1196,70,5,295000
Honda Jazz,Honda,Jazz,5,39000,Dealer,Diesel,Manual,27.3,1498,98.6,5,485000
Maruti Swift,Maruti,Swift,3,54000,Individual,Diesel,Manual,28.4,1248,74,5,685000
Toyota Innova,Toyota,Innova,3,42000,Dealer,Diesel,Automatic,13.68,2393,147.51,7,2090000
Volkswagen Vento,Volkswagen,Vento,7,45260,Dealer,Petrol,Automatic,18.19,1197,103.2,5,499000
Maruti Vitara,Maruti,Vitara,5,110000,Dealer,Diesel,Manual,24.3,1248,88.5,5,710000
Renault Duster,Renault,Duster,7,79600,Dealer,Diesel,Manual,20.45,1461,83.8,5,550000
Maruti Ertiga,Maruti,Ertiga,6,31000,Dealer,CNG,Manual,22.8,1373,80.9,7,685000
Maruti Ciaz,Maruti,Ciaz,4,27001,Dealer,Petrol,Automatic,19.12,1373,91.1,5,845000
Honda City,Honda,City,12,67500,Dealer,Petrol,Automatic,16.8,1497,118,5,290000
Volkswagen Polo,Volkswagen,Polo,5,22500,Dealer,Petrol,Automatic,17.21,1197,103.5,5,680000
Hyundai Verna,Hyundai,Verna,4,50000,Individual,Diesel,Manual,23.9,1582,126.2,5,1100000
Maruti Ignis,Maruti,Ignis,4,80000,Individual,Diesel,Manual,26.8,1248,74,5,480000
Renault Duster,Renault,Duster,5,50000,Individual,Diesel,Manual,19.87,1461,83.8,5,850000
Maruti Wagon R,Maruti,Wagon R,7,34000,Dealer,Petrol,Manual,20.51,998,67.04,5,325000
Toyota Innova,Toyota,Innova,7,79000,Dealer,Diesel,Manual,12.99,2494,100.6,7,1140000
Hyundai Grand,Hyundai,Grand,5,47500,Dealer,Petrol,Manual,18.9,1197,82,5,450000
Hyundai i20,Hyundai,i20,3,25000,Individual,Diesel,Manual,21.19,1396,88.73,5,850000
Maruti Alto,Maruti,Alto,8,60000,Individual,Petrol,Manual,22.74,796,47.3,5,180000
Mahindra Bolero,Mahindra,Bolero,10,31000,Dealer,Diesel,Manual,16.5,1493,70,7,448000
Maruti Swift Dzire,Maruti,Swift Dzire,7,90000,Dealer,Diesel,Manual,23.4,1248,74,5,580000
Maruti Wagon R,Maruti,Wagon R,6,48000,Dealer,CNG,Manual,26.6,998,58.16,5,325000
BMW X1,BMW,X1,5,14000,Dealer,Diesel,Automatic,20.68,1995,188,5,2850000
Mahindra XUV500,Mahindra,XUV500,3,60000,Individual,Diesel,Manual,16,1997,140,7,1000000
Maruti Alto,Maruti,Alto,11,69000,Dealer,Petrol,Manual,20.92,998,67.1,5,150000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,2,7000,Dealer,Diesel,Automatic,19.27,2143,170,5,3800000
BMW 5,BMW,5,5,30000,Dealer,Petrol,Automatic,14.04,1997,184,5,3000000
Maruti Ertiga,Maruti,Ertiga,7,68880,Dealer,Diesel,Manual,20.77,1248,88.76,7,645000
Mahindra Bolero,Mahindra,Bolero,3,43214,Dealer,Diesel,Manual,15.96,2523,62.1,7,755000
Maruti Ciaz,Maruti,Ciaz,5,59000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,690000
BMW 3,BMW,3,7,55000,Dealer,Diesel,Automatic,18.88,1995,184,5,1685000
Renault Duster,Renault,Duster,8,47000,Dealer,Diesel,Manual,20.46,1461,83.8,5,625000
Ford Ecosport,Ford,Ecosport,6,71893,Dealer,Diesel,Manual,21.7,1498,98.96,5,611000
Mahindra KUV100,Mahindra,KUV100,2,15000,Individual,Petrol,Manual,18.15,1198,82,6,570000
Volkswagen Vento,Volkswagen,Vento,6,48000,Dealer,Diesel,Manual,20.64,1498,108.49,5,699000
Toyota Innova,Toyota,Innova,10,80000,Individual,Diesel,Manual,12.8,2494,102,8,750000
Volkswagen Vento,Volkswagen,Vento,8,51500,Dealer,Petrol,Automatic,16.93,1197,103.2,5,475000
Maruti Alto,Maruti,Alto,5,65000,Dealer,Petrol,Manual,22.74,796,47.3,5,285000
Renault Duster,Renault,Duster,8,38900,Individual,Diesel,Manual,19.87,1461,83.8,5,500000
Skoda Octavia,Skoda,Octavia,4,22000,Dealer,Petrol,Automatic,14.7,1798,177.5,5,1399000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,89172,Dealer,Diesel,Automatic,19.27,2143,170,5,1400000
Toyota Innova,Toyota,Innova,3,25000,Dealer,Diesel,Manual,13.68,2393,147.51,8,1925000
Mahindra XUV500,Mahindra,XUV500,6,140000,Dealer,Diesel,Manual,16,2179,140,7,1050000
Toyota Innova,Toyota,Innova,5,108000,Dealer,Diesel,Manual,12.99,2494,100.6,7,1125000
Maruti Swift,Maruti,Swift,4,95079,Dealer,Diesel,Manual,25.2,1248,74,5,610000
Honda City,Honda,City,8,61000,Dealer,CNG,Manual,16.8,1497,116.3,5,495000
Hyundai Verna,Hyundai,Verna,4,25000,Dealer,Diesel,Automatic,22,1582,126.2,5,975000
Hyundai i20,Hyundai,i20,3,27000,Dealer,Petrol,Manual,18.6,1197,81.83,5,615000
Maruti Swift Dzire,Maruti,Swift Dzire,10,120000,Dealer,Petrol,Manual,21.21,1197,81.8,5,324000
Hyundai Grand,Hyundai,Grand,7,36000,Dealer,Petrol,Manual,18.9,1197,82,5,440000
Maruti Ciaz,Maruti,Ciaz,2,2950,Dealer,Petrol,Automatic,20.04,1462,103.25,5,1100000
Maruti Celerio,Maruti,Celerio,5,16393,Dealer,Petrol,Automatic,21.63,998,67.04,5,450000
Toyota Innova,Toyota,Innova,11,125000,Individual,Diesel,Manual,12.8,2494,102,7,550000
Mahindra XUV500,Mahindra,XUV500,4,37000,Dealer,Diesel,Automatic,16,2179,140,7,1160000
Volkswagen Polo,Volkswagen,Polo,4,13500,Dealer,Petrol,Manual,18.78,1198,74,5,520000
Mahindra Scorpio,Mahindra,Scorpio,6,82000,Dealer,Diesel,Manual,15.4,2179,120,8,925000
Maruti Ertiga,Maruti,Ertiga,8,42406,Dealer,Diesel,Manual,20.77,1248,88.76,7,625000
Mahindra KUV,Mahindra,KUV,4,20000,Dealer,Petrol,Manual,18.15,1198,82,6,450000
Honda City,Honda,City,6,65122,Dealer,Diesel,Manual,26,1498,98.6,5,650000
Honda City,Honda,City,11,55000,Dealer,Petrol,Manual,17,1497,118,5,325000
Tata Tiago,Tata,Tiago,3,7000,Dealer,Petrol,Manual,24,1199,83.81,5,525000
Maruti Wagon R,Maruti,Wagon R,7,87500,Dealer,CNG,Manual,26.2,998,58.2,5,340000
Maruti Baleno,Maruti,Baleno,3,17000,Dealer,Petrol,Manual,21.4,1197,83.1,5,625000
Maruti Wagon R,Maruti,Wagon R,5,30000,Individual,Petrol,Automatic,20.51,998,67,5,425000
Maruti Celerio,Maruti,Celerio,2,19000,Dealer,CNG,Manual,30.47,998,58.33,5,529000
Hyundai Grand,Hyundai,Grand,6,13000,Individual,Petrol,Manual,18.9,1197,82,5,480000
Hyundai Creta,Hyundai,Creta,3,65411,Dealer,Diesel,Manual,19.67,1582,126.2,5,1360000
Maruti Ciaz,Maruti,Ciaz,3,20286,Dealer,Petrol,Manual,20.73,1373,91.1,5,810000
Maruti Vitara,Maruti,Vitara,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,800000
Maruti Swift,Maruti,Swift,5,30000,Dealer,Petrol,Manual,22,1197,81.8,5,575000
Hyundai i10,Hyundai,i10,8,27562,Dealer,Petrol,Automatic,16.95,1197,78.9,5,360000
Land Rover Rover,Land Rover,Rover,6,40000,Individual,Diesel,Automatic,12.97,2179,187.7,5,5000000
Maruti Ertiga,Maruti,Ertiga,3,23206,Dealer,Petrol,Manual,19.34,1462,103,7,800000
Maruti Alto,Maruti,Alto,4,33000,Dealer,Petrol,Manual,24.7,796,47.3,5,330000
Hyundai i20,Hyundai,i20,6,190000,Individual,Diesel,Manual,22.54,1396,88.73,5,525000
Maruti Ciaz,Maruti,Ciaz,5,53000,Dealer,Petrol,Manual,20.73,1373,91.1,5,635000
Jeep Compass,Jeep,Compass,4,21356,Dealer,Diesel,Manual,17.1,1956,170,5,1645000
Volkswagen Vento,Volkswagen,Vento,9,33500,Dealer,Petrol,Manual,15.04,1598,103.6,5,325000
Hyundai i20,Hyundai,i20,8,80000,Individual,Petrol,Manual,18.5,1197,82.85,5,400000
Honda City,Honda,City,11,105000,Dealer,Petrol,Automatic,16.8,1497,118,5,375000
Honda City,Honda,City,14,62683,Dealer,Petrol,Automatic,16.4,1497,78,5,225000
Maruti Swift,Maruti,Swift,6,41000,Dealer,Diesel,Manual,25.2,1248,74,5,545000
BMW 5,BMW,5,11,21000,Dealer,Petrol,Automatic,10.8,2497,150,5,1399000
Volkswagen Vento,Volkswagen,Vento,11,106000,Individual,Diesel,Manual,20.54,1598,103.6,5,300000
Volkswagen Polo,Volkswagen,Polo,7,53000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,535000
Maruti Alto,Maruti,Alto,11,70000,Dealer,Petrol,Manual,20.92,998,67.1,5,180000
Hyundai i20,Hyundai,i20,9,40000,Dealer,Diesel,Manual,21.9,1396,88.76,5,435000
Skoda Rapid,Skoda,Rapid,5,66000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,750000
Maruti Swift,Maruti,Swift,7,41305,Dealer,Petrol,Manual,22,1197,81.8,5,425000
Honda City,Honda,City,7,54027,Dealer,Diesel,Manual,26,1498,98.6,5,545000
Renault KWID,Renault,KWID,4,36000,Dealer,Petrol,Automatic,24.04,999,67,5,411000
Ford Endeavour,Ford,Endeavour,4,43000,Dealer,Diesel,Automatic,10.91,3198,197,7,2875000
Skoda Octavia,Skoda,Octavia,4,50000,Individual,Petrol,Automatic,14.7,1798,177.5,5,1600000
Audi A6,Audi,A6,8,74000,Dealer,Diesel,Automatic,17.68,1968,174.33,5,1600000
Maruti Swift Dzire,Maruti,Swift Dzire,13,82400,Dealer,Diesel,Manual,19.3,1248,73.9,5,255000
Maruti Alto,Maruti,Alto,7,62485,Dealer,Petrol,Manual,22.74,796,47.3,5,260000
Maruti Ciaz,Maruti,Ciaz,5,59000,Dealer,Diesel,Manual,26.21,1248,88.5,5,710000
Toyota Innova,Toyota,Innova,5,65000,Dealer,Diesel,Manual,13.68,2393,147.51,7,1700000
Maruti Wagon R,Maruti,Wagon R,9,30000,Individual,Petrol,Manual,18.9,998,67.1,5,300000
Maruti Wagon R,Maruti,Wagon R,8,57000,Dealer,CNG,Manual,32.52,998,58.33,5,265000
Toyota Glanza,Toyota,Glanza,2,9000,Dealer,Petrol,Automatic,19.56,1197,81.8,5,890000
Maruti Swift,Maruti,Swift,6,20000,Individual,Petrol,Manual,20.4,1197,81.8,5,450000
Ford Figo,Ford,Figo,6,26000,Individual,Petrol,Manual,15.6,1196,70.02,5,290000
Honda WR-V,Honda,WR-V,4,27724,Dealer,Petrol,Manual,17.5,1199,88.7,5,750000
Tata Nexon,Tata,Nexon,3,25000,Individual,Diesel,Manual,21.5,1497,108.5,5,1000000
Hyundai i20,Hyundai,i20,9,48000,Individual,Petrol,Manual,17,1197,80,5,310000
Hyundai i20,Hyundai,i20,6,55199,Dealer,Petrol,Manual,18.6,1197,81.83,5,545000
Honda Amaze,Honda,Amaze,6,61058,Dealer,Diesel,Manual,25.8,1498,98.6,5,475000
Toyota Innova,Toyota,Innova,4,60000,Individual,Diesel,Manual,13.68,2393,147.8,7,1625000
Honda City,Honda,City,7,36348,Trustmark Dealer,Petrol,Automatic,18,1497,117.3,5,695000
Renault KWID,Renault,KWID,3,15000,Dealer,Petrol,Manual,25.17,799,53.3,5,331000
Maruti Baleno,Maruti,Baleno,5,37072,Dealer,Petrol,Manual,21.4,1197,83.1,5,615000
Hyundai i10,Hyundai,i10,13,45000,Dealer,Petrol,Manual,19.81,1086,68.05,5,210000
BMW 3,BMW,3,10,51000,Dealer,Diesel,Automatic,16.07,1995,181,4,850000
Mahindra Bolero,Mahindra,Bolero,14,120000,Individual,Diesel,Manual,13.6,2523,63,7,250000
Skoda Superb,Skoda,Superb,7,79000,Dealer,Diesel,Automatic,17.2,1968,138.1,5,975000
Maruti Swift,Maruti,Swift,3,16000,Individual,Petrol,Manual,22,1197,81.8,5,700000
Honda Amaze,Honda,Amaze,8,121877,Dealer,Diesel,Manual,24.7,1498,98.63,5,425000
Maruti Wagon R,Maruti,Wagon R,7,44000,Dealer,Petrol,Manual,20.51,998,67.04,5,325000
Toyota Fortuner,Toyota,Fortuner,4,60000,Individual,Diesel,Manual,14.24,2755,174.5,7,2400000
Maruti Wagon R,Maruti,Wagon R,9,80000,Individual,Petrol,Manual,18.9,998,67.1,5,275000
Maruti Swift,Maruti,Swift,11,82000,Dealer,Petrol,Manual,22,1197,81.8,5,311000
Hyundai Grand,Hyundai,Grand,5,28000,Dealer,Petrol,Automatic,18.9,1197,82,5,511000
Honda City,Honda,City,6,23461,Dealer,Petrol,Automatic,18,1497,117.3,5,820000
Honda Jazz,Honda,Jazz,4,19000,Individual,Petrol,Automatic,19,1199,88.7,5,735000
Skoda Rapid,Skoda,Rapid,7,62063,Dealer,Petrol,Automatic,14.3,1598,103.6,5,465000
Maruti Wagon R,Maruti,Wagon R,6,33766,Dealer,Petrol,Manual,20.51,998,67.04,5,372000
Audi Q7,Audi,Q7,8,128000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,1874000
Maruti Swift Dzire,Maruti,Swift Dzire,10,95398,Dealer,Diesel,Manual,19.3,1248,73.9,5,400000
Volkswagen Vento,Volkswagen,Vento,9,71000,Dealer,Petrol,Manual,15.04,1598,103.6,5,425000
Honda City,Honda,City,6,51000,Dealer,Petrol,Manual,17.4,1497,117.6,5,625000
Tata Nexon,Tata,Nexon,3,50000,Individual,Diesel,Manual,21.5,1497,108.5,5,725000
Maruti Celerio,Maruti,Celerio,7,91000,Individual,CNG,Manual,31.79,998,58.2,5,310000
Maruti Eeco,Maruti,Eeco,7,161209,Dealer,Petrol,Manual,15.37,1196,73,5,250000
Maruti Ciaz,Maruti,Ciaz,5,33000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,725000
Hyundai i20,Hyundai,i20,4,10000,Individual,Petrol,Manual,18.6,1197,81.83,5,700000
Maruti Alto,Maruti,Alto,10,50000,Individual,Petrol,Manual,19.7,796,46.3,5,185000
Honda Jazz,Honda,Jazz,4,32714,Dealer,Petrol,Manual,18.7,1199,88.7,5,650000
Tata Tiago,Tata,Tiago,2,10000,Individual,Petrol,Manual,23.84,1199,84,5,550000
Mahindra Bolero,Mahindra,Bolero,5,80000,Individual,Diesel,Manual,15.96,2523,63,9,630000
Volkswagen Vento,Volkswagen,Vento,10,45000,Dealer,Petrol,Manual,15.04,1598,103.6,5,335000
Audi A4,Audi,A4,7,67700,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1550000
Maruti Ertiga,Maruti,Ertiga,4,53393,Dealer,CNG,Manual,17.5,1373,80.46,7,800000
Maruti Swift Dzire,Maruti,Swift Dzire,10,75220,Dealer,Diesel,Manual,19.3,1248,73.9,5,390000
Toyota Innova,Toyota,Innova,13,142000,Dealer,Diesel,Manual,12.8,2494,102,8,490000
Ford Ecosport,Ford,Ecosport,5,56000,Dealer,Diesel,Manual,23,1498,98.96,5,765000
Maruti Swift,Maruti,Swift,8,97000,Individual,Petrol,Manual,18.6,1197,85.8,5,400000
Maruti Swift,Maruti,Swift,6,40200,Individual,Diesel,Manual,25.2,1248,74,5,498000
Datsun GO,Datsun,GO,5,29823,Dealer,Petrol,Manual,20.63,1198,67,5,295000
BMW 3,BMW,3,6,65000,Dealer,Diesel,Automatic,19.59,1995,184,5,1825000
Maruti Wagon R,Maruti,Wagon R,10,48000,Dealer,Petrol,Manual,21.79,998,67.05,5,245000
Audi A4,Audi,A4,9,85250,Dealer,Diesel,Automatic,16.55,1968,140,5,1300000
Honda City,Honda,City,6,42000,Dealer,Petrol,Manual,17.8,1497,117.3,5,615000
Maruti Swift Dzire,Maruti,Swift Dzire,9,58000,Individual,Petrol,Manual,19.1,1197,85.8,5,430000
Maruti Ignis,Maruti,Ignis,2,9343,Dealer,Petrol,Automatic,20.89,1197,81.8,5,600000
Mahindra KUV,Mahindra,KUV,4,70000,Individual,Petrol,Manual,18.15,1198,82,6,350000
Maruti Wagon R,Maruti,Wagon R,5,22000,Dealer,CNG,Manual,26.6,998,58.16,5,415000
Volkswagen Vento,Volkswagen,Vento,7,95000,Dealer,Diesel,Manual,20.34,1498,103.2,5,550000
Honda City,Honda,City,2,25000,Individual,Petrol,Automatic,18,1497,117.6,5,1400000
Maruti Vitara,Maruti,Vitara,3,66470,Dealer,Diesel,Manual,24.3,1248,88.5,5,900000
Hyundai Creta,Hyundai,Creta,5,27700,Dealer,Petrol,Manual,15.29,1591,121.3,5,820000
Skoda Octavia,Skoda,Octavia,4,40000,Dealer,Petrol,Automatic,15.1,1798,177,5,1500000
BMW 3,BMW,3,6,40000,Dealer,Diesel,Automatic,21.76,1995,188,5,2800000
Volkswagen Vento,Volkswagen,Vento,7,71000,Dealer,Diesel,Manual,22.27,1498,108.6,5,510000
Mahindra Bolero,Mahindra,Bolero,9,100000,Individual,Diesel,Manual,15.96,2523,62.1,7,550000
Tata Tiago,Tata,Tiago,5,80000,Individual,Petrol,Manual,23.84,1199,84,5,370000
Hyundai i10,Hyundai,i10,7,61696,Dealer,Petrol,Manual,19.81,1086,68.05,5,335000
Mahindra XUV500,Mahindra,XUV500,8,60000,Individual,Diesel,Manual,15.1,2179,140,7,600000
Mercedes-Benz CLS,Mercedes-Benz,CLS,10,103000,Dealer,Diesel,Automatic,19.4,2143,204,4,700000
Maruti Swift,Maruti,Swift,3,35000,Individual,Petrol,Automatic,21.21,1197,81.8,5,600000
Hyundai i20,Hyundai,i20,5,85000,Individual,Diesel,Manual,22.54,1396,88.73,5,550000
Maruti Ertiga,Maruti,Ertiga,6,42895,Dealer,CNG,Manual,17.5,1373,80.46,7,690000
Maruti Alto,Maruti,Alto,5,9223,Dealer,Petrol,Manual,22.74,796,47.3,5,300000
Hyundai Verna,Hyundai,Verna,4,45910,Dealer,Diesel,Manual,23.9,1582,126.2,5,925000
Hyundai i20,Hyundai,i20,2,8405,Dealer,Petrol,Manual,18.6,1197,81.86,5,590000
Hyundai Creta,Hyundai,Creta,4,51050,Dealer,Diesel,Manual,19.67,1582,126.2,5,1050000
Tata Nexon,Tata,Nexon,4,17000,Dealer,Petrol,Manual,17,1198,108.5,5,690000
Volkswagen Vento,Volkswagen,Vento,7,59000,Dealer,Petrol,Manual,15.04,1598,103.2,5,465000
Toyota Innova,Toyota,Innova,4,100000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1575000
Skoda Rapid,Skoda,Rapid,4,28000,Dealer,Petrol,Automatic,14.84,1598,103.2,5,825000
MG Hector,MG,Hector,2,8500,Dealer,Petrol,Automatic,13.96,1451,141,5,1855000
Hyundai Grand,Hyundai,Grand,5,13000,Dealer,Petrol,Manual,18.9,1197,82,5,455000
Ford Aspire,Ford,Aspire,3,5000,Individual,Petrol,Manual,18.16,1196,86.8,5,680000
Toyota Innova,Toyota,Innova,9,130000,Individual,Diesel,Manual,12.99,2494,100,7,700000
Honda City,Honda,City,6,29000,Dealer,Petrol,Manual,16.8,1497,116.3,5,524000
Volkswagen Polo,Volkswagen,Polo,3,11000,Dealer,Diesel,Manual,21.49,1498,108.5,5,875000
Hyundai Grand,Hyundai,Grand,5,198000,Individual,Petrol,Manual,18.9,1197,82,5,410000
Renault KWID,Renault,KWID,4,35000,Dealer,Petrol,Automatic,24.04,999,67,5,349000
Honda City,Honda,City,5,5730,Dealer,Petrol,Manual,17.4,1497,117.6,5,745000
Maruti Swift Dzire,Maruti,Swift Dzire,9,14000,Dealer,Diesel,Manual,28.4,1248,74.02,5,450000
Maruti Eeco,Maruti,Eeco,2,50000,Individual,Petrol,Manual,15.37,1196,73,7,380000
Maruti Swift Dzire,Maruti,Swift Dzire,3,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,675000
Honda City,Honda,City,5,89682,Dealer,Petrol,Automatic,18,1497,117.3,5,701000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,100000,Individual,Petrol,Manual,12.3,1796,185,5,950000
Skoda Superb,Skoda,Superb,9,160000,Individual,Diesel,Automatic,17.2,1968,138.1,5,1050000
Maruti Alto,Maruti,Alto,4,27000,Dealer,Petrol,Manual,24.7,796,47.3,5,290000
Honda City,Honda,City,6,67584,Dealer,Petrol,Manual,17.4,1497,117.3,5,651000
Hyundai Verna,Hyundai,Verna,7,56200,Dealer,Petrol,Manual,17.1,1591,121.3,5,691000
Volkswagen Vento,Volkswagen,Vento,9,19519,Individual,Petrol,Manual,15.04,1598,103.6,5,347000
Hyundai Verna,Hyundai,Verna,2,10000,Individual,Petrol,Manual,17,1591,121.3,5,999000
Maruti Wagon R,Maruti,Wagon R,9,62000,Dealer,CNG,Manual,33.54,998,67.04,5,340000
Porsche Macan,Porsche,Macan,4,30350,Dealer,Petrol,Automatic,13.6,1984,252,5,5995000
Maruti Wagon R,Maruti,Wagon R,7,27066,Dealer,Petrol,Manual,21.79,998,67.05,5,325000
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,375000
Audi A6,Audi,A6,9,64000,Dealer,Diesel,Automatic,17.68,1968,174.33,5,1650000
Volkswagen Polo,Volkswagen,Polo,6,37000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,575000
Volkswagen Vento,Volkswagen,Vento,4,20000,Dealer,Diesel,Manual,20.64,1498,108.49,5,950000
Hyundai i10,Hyundai,i10,9,30448,Dealer,Petrol,Manual,20.36,1197,78.9,5,288000
Volkswagen Polo,Volkswagen,Polo,7,27363,Dealer,Petrol,Automatic,17.21,1197,103.6,5,618000
Maruti Ertiga,Maruti,Ertiga,4,54688,Dealer,CNG,Manual,17.5,1373,80.46,7,785000
Hyundai i20,Hyundai,i20,6,35000,Dealer,Petrol,Manual,17.19,1197,81.86,5,575000
Volkswagen Polo,Volkswagen,Polo,5,54162,Dealer,Diesel,Manual,20.14,1498,88.8,5,575000
Maruti Swift,Maruti,Swift,8,100000,Individual,Diesel,Manual,22.9,1248,74,5,350000
Maruti Alto,Maruti,Alto,6,90145,Dealer,Petrol,Manual,22.74,796,47.3,5,290000
Maruti Alto,Maruti,Alto,10,70000,Individual,Petrol,Manual,20.92,998,67.1,5,180000
Maruti Swift,Maruti,Swift,10,225000,Individual,Diesel,Manual,22.9,1248,74,5,325000
Toyota Camry,Toyota,Camry,7,60000,Dealer,Petrol,Automatic,19.16,2494,158.2,5,1190000
Renault KWID,Renault,KWID,3,15300,Dealer,Petrol,Manual,23.01,999,67,5,411000
BMW 5,BMW,5,8,35000,Dealer,Diesel,Automatic,18.12,1995,190,5,1750000
Hyundai Elantra,Hyundai,Elantra,5,29000,Dealer,Diesel,Automatic,19.5,1582,126.24,5,1351000
Maruti Ciaz,Maruti,Ciaz,6,78000,Dealer,Diesel,Manual,26.21,1248,88.5,5,575000
Honda City,Honda,City,7,63351,Dealer,Diesel,Manual,26,1498,98.6,5,579000
Datsun GO,Datsun,GO,5,50000,Individual,Petrol,Manual,19.44,1198,67,7,350000
Honda Jazz,Honda,Jazz,6,41000,Dealer,Petrol,Automatic,19,1199,88.7,5,615000
Hyundai Grand,Hyundai,Grand,4,29000,Dealer,Petrol,Manual,18.9,1197,81.86,5,521000
Hyundai Verna,Hyundai,Verna,9,67000,Dealer,Diesel,Manual,22.32,1582,126.32,5,535000
Renault KWID,Renault,KWID,4,11000,Dealer,Petrol,Automatic,24.04,999,67,5,400000
Mahindra KUV,Mahindra,KUV,4,42000,Dealer,Petrol,Manual,18.15,1198,82,6,475000
Hyundai i20,Hyundai,i20,7,46500,Dealer,Petrol,Manual,18.5,1197,82.9,5,425000
Maruti Wagon R,Maruti,Wagon R,8,40200,Dealer,Petrol,Manual,18.9,998,67.1,5,325000
Ford Ecosport,Ford,Ecosport,4,94500,Dealer,Diesel,Manual,21.7,1498,98.96,5,775000
Hyundai i20,Hyundai,i20,8,26000,Individual,Petrol,Manual,18.5,1197,82.85,5,355000
Maruti Wagon R,Maruti,Wagon R,7,135975,Dealer,CNG,Manual,33.54,998,67.04,5,295000
Hyundai Grand,Hyundai,Grand,4,21000,Individual,Petrol,Manual,18.9,1197,82,5,550000
Honda Amaze,Honda,Amaze,6,44000,Dealer,Diesel,Manual,25.8,1498,98.6,5,600000
Hyundai i20,Hyundai,i20,6,85000,Dealer,Diesel,Manual,21.27,1396,88.76,5,630000
Maruti Wagon R,Maruti,Wagon R,5,64000,Dealer,Petrol,Manual,20.52,1197,81.8,5,339000
Honda City,Honda,City,4,54000,Dealer,Petrol,Automatic,18,1497,117.3,5,845000
Toyota Innova,Toyota,Innova,8,121000,Dealer,Diesel,Manual,12.8,2494,102,8,895000
Maruti Eeco,Maruti,Eeco,2,46000,Dealer,CNG,Manual,21.94,1196,61.7,5,475000
